contigName	contigLen	totalAvgDepth	sample3.sort	sample3.sort-var
NODE_1_length_164082_cov_7.173721	164082	16.0608	16.0608	21.3467
NODE_2_length_164078_cov_6.755077	164078	14.9753	14.9753	20.623
NODE_3_length_139165_cov_7.423636	139165	16.6351	16.6351	24.3475
NODE_4_length_137400_cov_6.939452	137400	15.5506	15.5506	20.0631
NODE_5_length_133562_cov_7.136922	133562	15.9657	15.9657	21.1136
NODE_6_length_133209_cov_7.066862	133209	15.8289	15.8289	19.6959
NODE_7_length_131483_cov_6.995655	131483	15.6682	15.6682	19.2826
NODE_8_length_124004_cov_6.751664	124004	15.1488	15.1488	20.2744
NODE_9_length_108882_cov_7.303592	108882	16.3226	16.3226	20.322
NODE_10_length_107001_cov_7.145008	107001	16.0504	16.0504	22.3166
NODE_11_length_88627_cov_7.075848	88627	15.9039	15.9039	20.6318
NODE_12_length_70986_cov_7.353639	70986	16.4494	16.4494	20.4459
NODE_13_length_68384_cov_7.780035	68384	17.8103	17.8103	30.1805
NODE_14_length_61854_cov_7.382530	61854	16.5321	16.5321	22.8994
NODE_15_length_58494_cov_5.000702	58494	11.2346	11.2346	16.6254
NODE_16_length_56380_cov_7.199947	56380	16.1278	16.1278	23.5928
NODE_17_length_49195_cov_7.957387	49195	17.8334	17.8334	22.5524
NODE_18_length_44181_cov_7.336582	44181	16.4178	16.4179	20.3123
NODE_19_length_42449_cov_7.347526	42449	16.4519	16.4519	21.4685
NODE_20_length_42424_cov_7.111025	42424	15.5323	15.5323	19.3141
NODE_21_length_42294_cov_7.328819	42294	16.3887	16.3887	24.3207
NODE_22_length_39291_cov_7.789530	39291	17.0325	17.0325	22.6508
NODE_23_length_37347_cov_7.529738	37347	16.8778	16.8778	23.3152
NODE_24_length_36446_cov_6.713611	36446	15.0204	15.0204	20.8552
NODE_25_length_36437_cov_7.355368	36437	16.4512	16.4512	21.9465
NODE_26_length_32545_cov_3.769960	32545	9.09079	9.09079	9.54643
NODE_27_length_30927_cov_3.503919	30927	8.7374	8.7374	9.16264
NODE_28_length_30784_cov_3.781086	30784	9.26627	9.26627	12.8156
NODE_29_length_29678_cov_7.965230	29678	17.8172	17.8172	47.8826
NODE_30_length_27028_cov_7.639306	27028	17.058	17.058	24.5085
NODE_31_length_26264_cov_3.775039	26264	8.9609	8.9609	10.5975
NODE_32_length_26246_cov_8.357260	26246	19.0991	19.0991	25.5441
NODE_33_length_25751_cov_3.525918	25751	8.84872	8.84872	9.07151
NODE_34_length_24106_cov_3.368675	24106	8.44431	8.44436	9.65742
NODE_35_length_23618_cov_7.392055	23618	16.2698	16.2698	21.2108
NODE_36_length_22368_cov_3.294223	22368	8.50189	8.50194	9.15254
NODE_37_length_21919_cov_7.757135	21919	17.3918	17.3918	22.0017
NODE_38_length_21669_cov_7.317942	21669	16.3948	16.3948	22.3607
NODE_39_length_21581_cov_3.179225	21581	7.40441	7.40441	8.99816
NODE_40_length_21234_cov_3.328344	21234	8.59623	8.59623	9.90591
NODE_41_length_20506_cov_3.397047	20506	8.51798	8.51798	9.54067
NODE_42_length_20103_cov_4.434457	20103	9.94713	9.94713	12.2958
NODE_43_length_19761_cov_3.055465	19761	7.30289	7.30289	8.45775
NODE_44_length_18977_cov_4.483194	18977	11.1094	11.1094	13.0463
NODE_45_length_18754_cov_2.737580	18754	6.54112	6.54112	6.80194
NODE_46_length_18553_cov_3.124122	18553	8.22366	8.22366	10.654
NODE_47_length_18443_cov_13.427942	18443	29.7655	29.7655	48.7697
NODE_48_length_18393_cov_7.634420	18393	17.1659	17.1659	19.6419
NODE_49_length_18244_cov_3.720985	18244	9.25434	9.25434	12.7329
NODE_50_length_18218_cov_2.804768	18218	6.70888	6.70888	7.53133
NODE_51_length_18101_cov_2.728361	18101	6.62359	6.62359	6.96859
NODE_52_length_17949_cov_4.426065	17949	10.0485	10.0485	13.7501
NODE_53_length_17717_cov_4.092741	17717	9.783	9.783	14.0036
