Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
0	o__Clostridiales (UID1212)	172	263	149	12	247	4	0	0	0	93.75	2.03	25.00
1	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
10	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
11	p__Actinobacteria (UID2112)	31	211	124	76	127	8	0	0	0	58.45	2.52	25.00
12	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
13	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
14	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
15	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
16	p__Euryarchaeota (UID3)	148	188	125	22	156	10	0	0	0	86.83	4.32	20.00
17	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
18	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
19	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
2	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
20	o__Clostridiales (UID1212)	172	263	149	123	97	39	4	0	0	52.39	15.81	3.92
21	o__Clostridiales (UID1212)	172	261	147	70	181	10	0	0	0	68.78	3.24	50.00
22	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
23	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
24	k__Bacteria (UID203)	5449	103	57	100	3	0	0	0	0	2.26	0.00	0.00
25	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
26	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
27	o__Clostridiales (UID1212)	172	263	149	3	255	5	0	0	0	97.99	2.24	0.00
28	o__Bacteroidales (UID2654)	163	486	266	299	138	39	9	1	0	36.73	12.23	0.00
29	f__Bifidobacteriaceae (UID1458)	77	464	220	2	455	7	0	0	0	99.32	2.50	14.29
3	o__Clostridiales (UID1212)	172	263	149	87	155	18	3	0	0	63.73	4.18	18.52
30	o__Clostridiales (UID1212)	172	263	149	6	253	4	0	0	0	97.82	1.79	25.00
31	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
4	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
5	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
6	o__Clostridiales (UID1212)	172	263	149	170	85	8	0	0	0	32.45	0.64	12.50
7	k__Bacteria (UID203)	5449	103	57	3	62	34	4	0	0	94.74	41.83	15.22
8	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
9	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
