contigName	contigLen	totalAvgDepth	sample2.sort	sample2.sort-var
NODE_1_length_167895_cov_6.736010	167895	15.3799	15.3799	22.4972
NODE_2_length_160742_cov_5.743103	160742	13.0633	13.0633	20.1701
NODE_3_length_159182_cov_6.482853	159182	14.7309	14.7309	24.152
NODE_4_length_147883_cov_6.370295	147883	15.0873	15.0873	24.4466
NODE_5_length_147481_cov_7.531596	147481	17.1999	17.1999	24.0025
NODE_6_length_123749_cov_5.222137	123749	11.7832	11.7832	15.3791
NODE_7_length_118470_cov_7.382772	118470	17.5588	17.5588	23.4904
NODE_8_length_102549_cov_6.226599	102549	14.1839	14.1839	20.3407
NODE_9_length_99018_cov_6.112396	99018	14.3985	14.3985	20.2691
NODE_10_length_98280_cov_5.430135	98280	12.3381	12.3381	18.0745
NODE_11_length_87222_cov_6.271123	87222	14.2884	14.2884	20.0885
NODE_12_length_83623_cov_7.076644	83623	16.2357	16.2357	23.0664
NODE_13_length_82033_cov_5.789029	82033	13.1692	13.1692	19.9446
NODE_14_length_79832_cov_5.411347	79832	12.2236	12.2236	16.5452
NODE_15_length_77864_cov_7.013559	77864	16.0561	16.0561	22.2752
NODE_16_length_77255_cov_5.194573	77255	12.0425	12.0425	17.9223
NODE_17_length_73411_cov_4.839959	73411	11.1345	11.1345	15.8189
NODE_18_length_71998_cov_17.570021	71998	38.9076	38.9076	79.3795
NODE_19_length_71493_cov_4.794521	71493	11.0646	11.0646	14.6001
NODE_20_length_68150_cov_5.226037	68150	12.0074	12.0074	16.8182
NODE_21_length_66417_cov_6.535095	66417	15.4498	15.4498	21.5149
NODE_22_length_64578_cov_7.631418	64578	18.0869	18.0869	23.8614
NODE_23_length_63743_cov_5.083626	63743	11.4585	11.4585	16.0114
NODE_24_length_61955_cov_6.723586	61955	15.2571	15.2571	24.7209
NODE_25_length_59455_cov_5.001919	59455	11.2087	11.2087	14.5356
NODE_26_length_59187_cov_6.038558	59187	13.7666	13.7666	19.6394
NODE_27_length_54251_cov_5.118699	54251	11.6143	11.6143	15.7506
NODE_28_length_54168_cov_6.685528	54168	15.7297	15.7297	23.5248
NODE_29_length_53497_cov_5.056042	53497	11.4013	11.4013	17.2381
NODE_30_length_53496_cov_4.836193	53496	11.1493	11.1493	14.2155
NODE_31_length_52138_cov_6.364399	52138	15.2658	15.2658	20.5019
NODE_32_length_50969_cov_9.351141	50969	22.3964	22.3964	35.0569
NODE_33_length_49153_cov_5.176138	49153	11.9378	11.9378	17.1872
NODE_34_length_48584_cov_5.054133	48584	11.3324	11.3324	17.2105
NODE_35_length_48478_cov_5.037709	48478	11.7031	11.7031	15.8367
NODE_36_length_44807_cov_4.872922	44807	11.0742	11.0742	14.8488
NODE_37_length_44145_cov_6.211091	44145	14.1551	14.1551	21.9495
NODE_38_length_44042_cov_4.769523	44042	10.9017	10.9017	13.4781
NODE_39_length_43190_cov_4.603060	43190	10.5798	10.5798	15.4172
NODE_40_length_41320_cov_7.629347	41320	17.9713	17.9713	30.1259
NODE_41_length_40645_cov_8.304311	40645	19.7715	19.7715	32.1853
NODE_42_length_40484_cov_4.627520	40484	10.641	10.641	13.499
NODE_43_length_40471_cov_5.048026	40471	11.4006	11.4006	16.9767
NODE_44_length_39535_cov_5.812893	39535	13.1246	13.1246	17.6536
NODE_45_length_39262_cov_5.684164	39262	12.9915	12.9915	18.0743
NODE_46_length_38556_cov_9.452871	38556	22.6365	22.6365	34.1694
NODE_47_length_38376_cov_5.031027	38376	11.4017	11.4017	17.1342
NODE_48_length_37854_cov_9.543057	37854	22.0629	22.0629	34.9908
NODE_49_length_37127_cov_5.624919	37127	12.7809	12.7809	18.865
NODE_50_length_36398_cov_10.015821	36398	23.9144	23.9144	41.9954
NODE_51_length_36076_cov_11.552428	36076	27.4778	27.4778	41.9035
NODE_52_length_35863_cov_4.853776	35863	10.8995	10.8995	14.2153
NODE_53_length_35670_cov_6.037456	35670	14.5976	14.5976	23.0144
NODE_54_length_35231_cov_4.805521	35231	10.982	10.982	14.1126
NODE_55_length_35091_cov_10.358460	35091	24.2879	24.2879	36.1531
NODE_56_length_34114_cov_8.435803	34114	20.2903	20.2903	32.9079
NODE_57_length_33098_cov_5.199437	33098	11.7912	11.7912	18.2468
NODE_58_length_32684_cov_4.943087	32684	11.3078	11.3078	15.8571
NODE_59_length_32667_cov_4.978045	32667	11.6134	11.6134	15.8973
NODE_60_length_32487_cov_10.839017	32487	25.4004	25.4004	42.6548
NODE_61_length_32471_cov_7.216498	32471	16.6728	16.6728	24.7483
NODE_62_length_32342_cov_8.682844	32342	20.3668	20.3668	30.8251
NODE_63_length_32152_cov_6.596722	32152	14.9826	14.9826	20.9579
NODE_64_length_32065_cov_4.472321	32065	10.2173	10.2173	12.1136
NODE_65_length_31784_cov_4.906741	31784	11.3078	11.3078	13.614
NODE_66_length_31651_cov_4.651665	31651	10.4781	10.4781	16.4265
NODE_67_length_30131_cov_8.951456	30131	21.2326	21.2326	33.1457
NODE_68_length_29860_cov_6.648381	29860	15.7124	15.7124	25.2757
NODE_69_length_29304_cov_4.558959	29304	10.2954	10.2954	18.0223
NODE_70_length_29233_cov_4.956645	29233	11.31	11.31	15.0514
NODE_71_length_28737_cov_4.741441	28737	10.876	10.876	15.1187
NODE_72_length_28642_cov_4.895022	28642	11.3303	11.3303	15.4274
NODE_73_length_28498_cov_4.735014	28498	10.8455	10.8455	14.6638
NODE_74_length_28033_cov_4.993030	28033	11.5731	11.5731	17.6015
NODE_75_length_27747_cov_4.537700	27747	10.4102	10.4102	13.0742
NODE_76_length_27540_cov_6.474113	27540	15.4587	15.4587	21.7563
NODE_77_length_26915_cov_4.852643	26915	11.2698	11.2698	16.5592
NODE_78_length_26826_cov_8.690411	26826	20.7736	20.7736	36.9656
NODE_79_length_26809_cov_5.017567	26809	11.5084	11.5084	15.7717
NODE_80_length_26760_cov_6.842764	26760	16.3951	16.3951	24.0973
NODE_81_length_26488_cov_4.791208	26488	11.1104	11.1104	14.6259
NODE_82_length_26236_cov_4.802796	26236	10.8845	10.8845	14.3291
NODE_83_length_26092_cov_7.555978	26092	18.0136	18.0136	25.5551
NODE_84_length_26039_cov_4.635930	26039	10.6604	10.6604	12.0554
NODE_85_length_26012_cov_3.674423	26012	8.25346	8.25346	8.47806
NODE_86_length_25903_cov_4.845481	25903	11.263	11.263	13.0267
NODE_87_length_25476_cov_5.013375	25476	11.2274	11.2274	15.3657
NODE_88_length_25377_cov_5.030250	25377	11.3197	11.3197	15.7391
NODE_89_length_25029_cov_6.092576	25029	13.734	13.734	21.2538
NODE_90_length_24842_cov_5.770727	24842	13.1036	13.1036	15.2545
NODE_91_length_24823_cov_4.049378	24823	9.11859	9.11863	11.9973
NODE_92_length_24820_cov_10.083384	24820	23.5881	23.5881	38.6778
NODE_93_length_24775_cov_4.488511	24775	10.0497	10.0497	13.1045
NODE_94_length_24730_cov_3.851469	24730	8.75932	8.75932	12.5955
NODE_95_length_24467_cov_9.083197	24467	21.879	21.879	38.3844
NODE_96_length_24436_cov_5.081293	24436	11.4611	11.4611	18.2644
NODE_97_length_24378_cov_5.313654	24378	12.1989	12.1989	16.4188
NODE_98_length_24352_cov_4.555748	24352	10.4428	10.4428	14.8006
NODE_99_length_24258_cov_4.608106	24258	10.399	10.399	13.4687
NODE_100_length_24225_cov_4.135416	24225	9.26804	9.26804	12.4338
NODE_101_length_24223_cov_4.595871	24223	10.6279	10.6279	14.2808
NODE_102_length_23873_cov_7.780376	23873	18.7502	18.7502	29.1558
NODE_103_length_23613_cov_4.000382	23613	8.93526	8.93526	16.8672
NODE_104_length_23575_cov_9.779082	23575	23.3728	23.3728	40.26
NODE_105_length_23197_cov_4.172889	23197	9.42943	9.42943	13.4049
NODE_106_length_23111_cov_9.216386	23111	21.7853	21.7853	38.3758
NODE_107_length_22938_cov_8.248656	22938	19.5789	19.5789	25.4445
NODE_108_length_22431_cov_5.740168	22431	13.1095	13.1095	21.1621
NODE_109_length_22427_cov_4.704631	22427	10.6997	10.6997	14.2922
NODE_110_length_22289_cov_10.023837	22289	24.1678	24.1678	44.1086
NODE_111_length_21934_cov_4.891037	21934	11.2888	11.2889	14.7845
NODE_112_length_21380_cov_4.984713	21380	11.5787	11.5787	14.2623
NODE_113_length_21176_cov_5.566214	21176	12.772	12.772	15.2149
NODE_114_length_20945_cov_7.278794	20945	17.4657	17.4657	25.977
NODE_115_length_20571_cov_9.135894	20571	21.4262	21.4262	30.4777
NODE_116_length_20510_cov_4.906673	20510	11.4126	11.4126	16.2965
NODE_117_length_20412_cov_4.567618	20412	10.3314	10.3314	13.6864
NODE_118_length_20337_cov_4.550537	20337	10.2185	10.2185	13.5496
NODE_119_length_20096_cov_5.206477	20096	12.0277	12.0277	14.778
NODE_120_length_19947_cov_4.553036	19947	10.3388	10.3388	16.5288
NODE_121_length_19806_cov_10.609387	19806	25.3663	25.3663	40.0784
NODE_122_length_19760_cov_16.942147	19760	37.5898	37.5898	109.494
NODE_123_length_19667_cov_7.940241	19667	18.6476	18.6476	27.9728
NODE_124_length_19093_cov_4.725917	19093	10.8195	10.8195	16.268
NODE_125_length_19029_cov_3.781912	19029	8.54087	8.54087	9.70577
NODE_126_length_18959_cov_4.916102	18959	11.0369	11.0369	17.333
NODE_127_length_18939_cov_4.913472	18939	11.428	11.428	17.2032
NODE_128_length_18903_cov_4.859773	18903	11.1794	11.1794	13.8553
NODE_129_length_18787_cov_3.687433	18787	8.26925	8.26925	10.7983
NODE_130_length_18545_cov_4.722931	18545	10.9444	10.9444	13.7135
NODE_131_length_18526_cov_4.714904	18526	10.6786	10.6786	15.5891
NODE_132_length_18505_cov_4.597019	18505	10.3933	10.3933	12.4751
NODE_133_length_18500_cov_4.445975	18500	9.96049	9.96049	13.0448
NODE_134_length_18476_cov_4.891917	18476	10.7517	10.7517	12.2015
NODE_135_length_18362_cov_5.030043	18362	11.3391	11.3391	15.3616
NODE_136_length_18332_cov_9.407014	18332	22.2202	22.2202	43.3915
NODE_137_length_18206_cov_9.702055	18206	23.0935	23.0935	41.434
NODE_138_length_18174_cov_9.910867	18174	23.7393	23.7393	47.5196
NODE_139_length_18158_cov_3.879357	18158	8.74961	8.74961	10.1376
NODE_140_length_18153_cov_4.039341	18153	9.0821	9.0821	11.0414
NODE_141_length_18056_cov_4.444753	18056	10.209	10.209	13.1172
NODE_142_length_17561_cov_6.841140	17561	16.3084	16.3084	29.229
NODE_143_length_17326_cov_4.354525	17326	9.98853	9.98853	13.4243
NODE_144_length_17322_cov_6.984363	17322	16.4123	16.4123	21.1765
NODE_145_length_17305_cov_4.106551	17305	9.29298	9.29298	11.7336
NODE_146_length_17211_cov_4.620063	17211	10.72	10.72	13.7722
NODE_147_length_16923_cov_5.021935	16923	11.3546	11.3546	15.6982
NODE_148_length_16904_cov_5.829960	16904	13.6771	13.6771	17.0484
NODE_149_length_16827_cov_6.446458	16827	14.6296	14.6296	25.4334
NODE_150_length_16668_cov_5.456390	16668	12.4669	12.4669	14.9797
NODE_151_length_16618_cov_3.789591	16618	8.48263	8.48263	9.99503
NODE_152_length_16609_cov_6.826084	16609	15.9987	15.9987	25.2406
NODE_153_length_16509_cov_4.911207	16509	11.2566	11.2566	15.3163
NODE_154_length_16400_cov_7.668339	16400	18.1442	18.1442	24.5236
NODE_155_length_16395_cov_5.033476	16395	11.3855	11.3855	13.2941
NODE_156_length_16379_cov_4.748959	16379	10.8905	10.8905	13.0005
NODE_157_length_16155_cov_5.587950	16155	12.7831	12.7831	21.6485
NODE_158_length_16099_cov_5.072488	16099	11.4612	11.4612	15.2741
NODE_159_length_16071_cov_7.835852	16071	18.8163	18.8163	29.7695
NODE_160_length_15953_cov_10.773745	15953	26.0292	26.0292	43.1588
NODE_161_length_15842_cov_4.672452	15842	10.7565	10.7565	14.0328
NODE_162_length_15621_cov_4.325581	15621	9.96051	9.96051	11.1321
NODE_163_length_15336_cov_6.605916	15336	15.2409	15.2409	23.7544
NODE_164_length_15323_cov_3.266440	15323	7.3667	7.3667	9.3345
NODE_165_length_15319_cov_3.908608	15319	8.8108	8.8108	13.1997
NODE_166_length_15206_cov_5.012936	15206	11.3001	11.3001	19.8652
NODE_167_length_15205_cov_3.433267	15205	7.69605	7.69605	9.84464
NODE_168_length_15167_cov_4.411792	15167	9.95672	9.95672	11.6829
