contig_id,cluster_id
NODE_5653_length_1205_cov_2.088696,2
NODE_7321_length_1037_cov_1.857434,13
NODE_4740_length_1341_cov_1.400467,13
NODE_5496_length_1225_cov_1.568376,13
NODE_2624_length_1918_cov_1.962426,2
NODE_1349_length_2898_cov_2.907844,4
NODE_6832_length_1078_cov_1.552297,23
NODE_1731_length_2475_cov_2.827273,15
NODE_1146_length_3173_cov_2.660038,32
NODE_5299_length_1251_cov_2.597826,29
NODE_7044_length_1060_cov_1.766169,13
NODE_4758_length_1338_cov_1.717069,23
NODE_4817_length_1326_cov_1.728560,29
NODE_6138_length_1147_cov_2.083333,15
NODE_3372_length_1642_cov_2.681790,2
NODE_4915_length_1309_cov_1.823764,23
NODE_6981_length_1064_cov_2.334985,15
NODE_2813_length_1834_cov_2.457560,2
NODE_2657_length_1901_cov_1.818527,2
NODE_3807_length_1531_cov_2.465447,4
NODE_2289_length_2080_cov_4.059259,8
NODE_1782_length_2422_cov_2.398395,4
NODE_5944_length_1167_cov_9.686151,17
NODE_322_length_7213_cov_4.270886,8
NODE_5558_length_1218_cov_1.722270,13
NODE_3542_length_1597_cov_2.446174,13
NODE_4042_length_1481_cov_1.872370,14
NODE_3426_length_1626_cov_6.126034,21
NODE_3433_length_1626_cov_1.551878,13
NODE_2749_length_1860_cov_1.677562,29
NODE_7361_length_1034_cov_3.134831,29
NODE_876_length_3775_cov_2.519355,23
NODE_3288_length_1669_cov_3.320322,4
NODE_2345_length_2051_cov_3.096192,14
NODE_5347_length_1245_cov_2.184034,23
NODE_7215_length_1045_cov_1.787879,14
NODE_4770_length_1335_cov_3.114063,15
NODE_3873_length_1516_cov_1.689938,2
NODE_6031_length_1158_cov_2.223028,23
NODE_6901_length_1072_cov_1.720747,14
NODE_1348_length_2898_cov_5.142455,2
NODE_3279_length_1672_cov_2.006184,29
NODE_6783_length_1082_cov_2.112950,13
NODE_927_length_3636_cov_2.411896,18
NODE_1657_length_2543_cov_2.673633,4
NODE_6111_length_1150_cov_2.996347,2
NODE_6338_length_1125_cov_1.714019,29
NODE_628_length_4685_cov_4.165011,8
NODE_6220_length_1138_cov_2.083102,13
NODE_7230_length_1044_cov_1.685541,13
NODE_5131_length_1277_cov_4.963993,18
NODE_5438_length_1233_cov_1.734295,23
NODE_6839_length_1077_cov_3.266145,20
NODE_4291_length_1424_cov_1.439007,29
NODE_251_length_9070_cov_4.869329,8
NODE_5536_length_1219_cov_3.441581,29
NODE_5693_length_1200_cov_1.338865,13
NODE_954_length_3565_cov_2.370085,4
NODE_2288_length_2081_cov_2.318855,15
NODE_96_length_20777_cov_5.373468,32
NODE_5248_length_1258_cov_3.075644,20
NODE_1447_length_2755_cov_2.610000,2
NODE_4108_length_1464_cov_2.145493,2
NODE_3370_length_1643_cov_2.195844,29
NODE_5236_length_1260_cov_3.682988,15
NODE_7269_length_1040_cov_3.107614,15
NODE_3473_length_1613_cov_2.685494,23
NODE_4416_length_1397_cov_43.219076,17
NODE_351_length_6779_cov_4.243605,8
NODE_1747_length_2459_cov_2.858985,18
NODE_1334_length_2916_cov_2.905977,4
NODE_5180_length_1269_cov_2.390445,29
NODE_3676_length_1566_cov_3.011913,4
NODE_5435_length_1233_cov_1.960951,23
NODE_4849_length_1320_cov_1.472727,29
NODE_4870_length_1316_cov_1.622522,29
NODE_4454_length_1392_cov_2.219895,2
NODE_3058_length_1741_cov_1.833333,14
NODE_6326_length_1126_cov_1.833800,18
NODE_454_length_5616_cov_2.565186,32
NODE_6355_length_1123_cov_2.230337,13
NODE_1112_length_3222_cov_2.033470,20
NODE_5114_length_1280_cov_1.424490,13
NODE_6287_length_1130_cov_1.965581,23
NODE_5158_length_1273_cov_1.924466,29
NODE_609_length_4743_cov_2.916596,18
NODE_846_length_3878_cov_2.802773,4
NODE_5643_length_1206_cov_2.649870,2
NODE_4532_length_1375_cov_3.098485,15
NODE_2984_length_1768_cov_2.566258,13
NODE_3118_length_1721_cov_1.671669,15
NODE_820_length_3966_cov_5.742777,17
NODE_3683_length_1564_cov_2.810471,2
NODE_925_length_3637_cov_3.282803,8
NODE_451_length_5639_cov_3.336676,4
NODE_6623_length_1096_cov_2.617675,2
NODE_6576_length_1102_cov_1.935053,14
NODE_2411_length_2025_cov_2.019797,2
NODE_1182_length_3116_cov_3.187847,4
NODE_3400_length_1634_cov_2.222926,29
NODE_6512_length_1106_cov_1.985728,13
NODE_5052_length_1288_cov_6.656123,17
NODE_6902_length_1072_cov_1.606686,29
NODE_2390_length_2033_cov_1.938827,2
NODE_1160_length_3156_cov_3.836182,2
NODE_4969_length_1300_cov_12.250602,2
NODE_2212_length_2122_cov_4.026125,17
NODE_1293_length_2970_cov_2.111492,15
NODE_1966_length_2289_cov_2.660698,20
NODE_3011_length_1759_cov_3.466549,20
NODE_3143_length_1708_cov_3.081065,20
NODE_5901_length_1173_cov_2.084079,23
NODE_76_length_25897_cov_5.294714,32
NODE_1707_length_2498_cov_3.126893,4
NODE_6829_length_1078_cov_2.096774,23
NODE_584_length_4896_cov_2.686222,4
NODE_6101_length_1151_cov_8.973540,17
NODE_1328_length_2921_cov_3.182833,17
NODE_1020_length_3409_cov_2.440966,23
NODE_2713_length_1875_cov_2.880769,2
NODE_4417_length_1397_cov_5.668405,15
NODE_37_length_41591_cov_4.631693,32
NODE_3759_length_1547_cov_2.336461,2
NODE_6176_length_1143_cov_1.838235,13
NODE_4877_length_1315_cov_1.711111,29
NODE_6528_length_1105_cov_2.144762,2
NODE_1009_length_3432_cov_2.998223,18
NODE_7739_length_1006_cov_1.212408,14
NODE_5968_length_1165_cov_1.739640,2
NODE_5900_length_1173_cov_2.160107,15
NODE_2572_length_1948_cov_3.129952,4
NODE_3136_length_1712_cov_2.910682,23
NODE_2248_length_2101_cov_2.032258,2
NODE_6381_length_1119_cov_2.971805,20
NODE_6996_length_1063_cov_2.481151,23
NODE_6313_length_1127_cov_2.180970,20
NODE_5274_length_1254_cov_2.799833,18
NODE_4846_length_1321_cov_1.653239,13
NODE_660_length_4535_cov_3.168973,4
NODE_5956_length_1166_cov_2.174617,23
NODE_1683_length_2525_cov_3.237247,4
NODE_2176_length_2146_cov_2.987088,4
NODE_2947_length_1781_cov_2.331402,18
NODE_35_length_44220_cov_5.096932,32
NODE_6046_length_1156_cov_2.673025,13
NODE_199_length_11131_cov_3.551011,8
NODE_5121_length_1279_cov_1.759804,15
NODE_6255_length_1134_cov_2.497683,2
NODE_2451_length_2007_cov_2.496414,15
NODE_7057_length_1059_cov_2.389442,15
NODE_6816_length_1079_cov_2.733398,18
NODE_2147_length_2163_cov_2.030835,17
NODE_6562_length_1103_cov_2.818702,4
NODE_4474_length_1388_cov_1.711178,29
NODE_4505_length_1380_cov_2.707925,2
NODE_4853_length_1319_cov_2.022152,23
NODE_7231_length_1044_cov_1.598584,14
NODE_7087_length_1057_cov_2.099800,2
NODE_7665_length_1011_cov_2.338912,18
NODE_5736_length_1194_cov_1.795435,29
NODE_6533_length_1105_cov_1.941905,29
NODE_3084_length_1730_cov_1.554030,29
NODE_2111_length_2197_cov_2.644725,18
NODE_5959_length_1166_cov_1.528353,29
NODE_2392_length_2032_cov_2.433485,17
NODE_1086_length_3269_cov_5.555694,8
NODE_3515_length_1606_cov_2.124436,23
NODE_1476_length_2728_cov_2.194164,15
NODE_5955_length_1166_cov_2.557156,23
NODE_3021_length_1756_cov_3.168724,23
NODE_2012_length_2257_cov_4.005450,29
NODE_6835_length_1078_cov_1.399804,2
NODE_5145_length_1275_cov_1.938525,29
NODE_1079_length_3286_cov_3.127515,13
NODE_5762_length_1190_cov_2.723348,15
NODE_7699_length_1008_cov_1.876180,23
NODE_1269_length_2995_cov_4.233333,8
NODE_4570_length_1368_cov_2.031988,13
NODE_6837_length_1078_cov_1.145650,13
NODE_5428_length_1234_cov_1.688719,2
NODE_1850_length_2369_cov_6.071305,15
NODE_6445_length_1113_cov_1.115312,29
NODE_5610_length_1211_cov_1.831315,2
NODE_4800_length_1330_cov_2.661961,2
NODE_1076_length_3297_cov_2.724553,32
NODE_5133_length_1277_cov_2.310966,8
NODE_2253_length_2098_cov_3.426823,2
NODE_4496_length_1382_cov_2.052751,29
NODE_7420_length_1030_cov_1.969231,14
NODE_1637_length_2563_cov_3.073365,4
NODE_4356_length_1409_cov_2.721566,15
NODE_2366_length_2046_cov_2.496735,2
NODE_2834_length_1827_cov_2.047404,2
NODE_519_length_5166_cov_5.307376,32
NODE_1113_length_3221_cov_3.085913,4
NODE_6750_length_1085_cov_1.879612,13
NODE_5156_length_1273_cov_2.540230,15
NODE_54_length_32728_cov_6.411685,32
NODE_2459_length_1999_cov_2.979938,2
NODE_266_length_8468_cov_3.775823,8
NODE_4209_length_1442_cov_1.429704,15
NODE_4323_length_1416_cov_1.973549,14
NODE_7511_length_1024_cov_1.767802,13
NODE_5869_length_1177_cov_1.369875,14
NODE_1403_length_2822_cov_2.948319,4
NODE_1515_length_2686_cov_3.004941,4
NODE_7163_length_1050_cov_1.524623,29
NODE_1121_length_3212_cov_2.571112,4
NODE_2019_length_2254_cov_2.486130,18
NODE_32_length_45217_cov_5.481821,32
NODE_463_length_5555_cov_2.784727,32
NODE_6731_length_1087_cov_1.796512,23
NODE_6023_length_1159_cov_1.816123,29
NODE_7327_length_1037_cov_1.336049,29
